Mouse gene name	Gene name
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
mt-Nd1	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
mt-Nd2	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
mt-Co1	MT-CO1
	MT-TS1
	MT-TD
mt-Co2	MT-CO2
	MT-TK
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
	MT-TG
mt-Nd3	MT-ND3
	MT-TR
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
	MT-TE
mt-Cytb	MT-CYB
	MT-TT
	MT-TP
	
	
5S_rRNA	5S_rRNA
5S_rRNA	5S_rRNA
	
	INTS3
5_8S_rRNA	5_8S_rRNA
5_8S_rRNA	5_8S_rRNA
	
	LINC01115
	KIR2DL3
	
	LILRP2
	KIR2DL4
	
	LINC02109
	LILRP1
	KIR3DL2
	KIR2DL1
	KIR3DL1
	KIR2DS3
	KIR2DS4
	KIR3DL3
	KIR2DL4
	
	
	KIR2DL2
	LILRP1
	KIR2DL3
	KIR3DL3
	
	KIR2DL4
	KIR3DL1
	KIR2DL4
	KIR2DL4
	KIR2DS4
	KIR2DS4
	PCMTD2
	NCR1
	KIR3DL1
	LILRP2
	KIR3DP1
	KIR2DS2
	KIR2DL3
	KIR2DL4
	KIR2DL1
	KIR2DL4
	KIR3DP1
	FCAR
	KIR2DL1
	KIR3DL1
	OPRL1
	LILRP1
	KIR2DL2
	KIR2DP1
	NPBWR2
	
	KIR2DL4
	
	MYT1
	KIR3DL1
	KIR3DL3
	LILRP2
	
	
	
	KIR2DL2
	GEMIN2P1
	GATAD2B
	KIR2DL1
	KIR2DL1
	KIR2DS4
	KIR3DL2
	KRT20
	KIR2DS4
	KIR3DL3
	KIR3DL1
	KIR3DL3
	KRTAP3-1
	FCAR
	KIR3DP1
	KRTAP3-2
	KIR3DL1
	KRTAP4-9
	
	SLC27A3
	DNAH10
	KRTAP2-4
	KIR2DS4
	
	KIR3DL3
	KIR3DP1
	LILRP2
	KRT23
	KIR3DL1
	KIR3DP1
	LILRP1
	KIR3DL1
	KIR2DS4
	KIR2DS5
	FCAR
	KIR2DS4
	KIR2DP1
	KIR2DL1
	KIR3DL3
	KIR2DS2
	KIR3DL1
	KIR2DL5B
	KIR2DL4
	LILRP2
	KIR3DL2
	KIR3DS1
	LILRP2
	KIR2DS2
	KIR2DS1
	KIR2DS3
	
	KIR3DL3
	KIR2DL1
	KIR3DL2
	LILRP1
	KIR2DS2
	
	KIR2DL2
	KIR2DL4
	
	KIR2DP1
	KIR3DL2
	KIR3DP1
	KIR3DL2
	KIR3DL1
	KIR2DS4
	KIR2DL1
	
	KIR2DL1
	
	
	Y_RNA
	Y_RNA
	CCDC92
	Metazoa_SRP
	Metazoa_SRP
	KIR3DP1
	LILRP1
	KIR2DS3
	KIR3DP1
	LILRP2
	KIR2DL5A
	KIR2DS3
	KIR2DL4
	KIR2DP1
	KIR3DL1
	KRT40
	KIR3DP1
	KIR2DL2
	KIR3DP1
	LILRP1
	KIR2DL3
	LILRP2
	LILRP1
	LILRP1
	
	LILRP1
	KIR2DL5A
	KIR2DL2
	
	KIR2DL3
	KIR2DL4
	KIR3DL2
	KIR2DL4
	KIR3DS1
	KRTAP1-1
	
	KIR2DL5B
	KIR2DL4
	KRTAP4-11
	
	KRTAP2-5P
	KRTAP1-3
	KRTAP4-16
	KIR2DL3
	KRT12
	
	KIR2DS3
	KIR2DL3
	KRTAP1-5
	KRT39
	LILRP2
	KIR3DS1
	KIR3DP1
	LILRP2
	KIR3DL3
	KIR2DS5
	NCR1
	KIR3DL1
	KIR2DL5B
	KIR3DL2
	KIR3DL3
	KRTAP3-4P
	KRTAP2-1
	KIR2DL3
	KIR3DL3
	KRTAP3-3
	KIR2DL1
	KIR3DL2
	KRTAP2-3
	KRTAP4-12
	KRTAP1-4
	
	KRTAP4-8
	KIR3DL3
	KIR2DS1
	KIR2DL5A
	
	KIR2DS2
	LILRP2
	LILRP2
	KIR3DL3
	LINC01839
	LINC02054
	KIR2DS2
	KIR3DS1
	KIR2DL3
	KIR2DL4
	KIR3DL2
	KIR3DL2
	KIR2DS2
	KIR3DL2
	KIR3DL1
	KIR3DP1
	LINC00254
	KIR2DS4
	HS3ST6
	LILRP2
	KIR2DP1
	KIR2DL3
	MEIOB
	
	LILRP1
	KIR3DL1
	KIR3DL3
	LINC02124
	KIR3DL3
	U6
	
	KIR2DL5B
	KIR2DS2
	KIR3DL2
	KIR2DL2
	KIR3DL3
	KIR2DP1
	KIR2DL3
	KIR2DS1
	FCAR
	KIR3DL3
